Valor do sinal,Temperatura,Umidade,Data,Hora
-0.16796875,26.9°C,72%,2024-04-03,17:34:31
0.068359375,26.9°C,72%,2024-04-03,17:34:48
-0.068359375,26.9°C,72%,2024-04-03,17:35:04
-0.2421875,26.9°C,72%,2024-04-03,17:35:20
-0.09765625,26.9°C,72%,2024-04-03,17:35:37
0.05078125,26.9°C,72%,2024-04-03,17:35:53
-0.099609375,26.9°C,72%,2024-04-03,17:36:09
-0.251953125,26.9°C,72%,2024-04-03,17:36:25
-0.029296875,26.9°C,72%,2024-04-03,17:36:41
0.0625,26.9°C,72%,2024-04-03,17:36:57
-0.171875,26.9°C,72%,2024-04-03,17:37:13
-0.232421875,26.9°C,72%,2024-04-03,17:37:30
0.01171875,26.9°C,72%,2024-04-03,17:37:46
0.072265625,26.9°C,72%,2024-04-03,17:38:02
-0.224609375,26.9°C,72%,2024-04-03,17:38:18
-0.23828125,26.9°C,72%,2024-04-03,17:38:35
0.064453125,26.9°C,72%,2024-04-03,17:38:51
0.056640625,26.9°C,72%,2024-04-03,17:39:07
-0.224609375,26.9°C,72%,2024-04-03,17:39:23
-0.228515625,26.9°C,72%,2024-04-03,17:39:39
0.078125,26.9°C,72%,2024-04-03,17:39:56
0.05078125,26.9°C,72%,2024-04-03,17:40:12
-0.23828125,26.9°C,72%,2024-04-03,17:40:28
-0.18359375,26.9°C,72%,2024-04-03,17:40:44
0.056640625,26.9°C,72%,2024-04-03,17:41:00
0.0078125,26.9°C,72%,2024-04-03,17:41:16
-0.244140625,26.9°C,72%,2024-04-03,17:41:33
-0.1328125,26.9°C,72%,2024-04-03,17:41:49
0.06640625,26.9°C,72%,2024-04-03,17:42:05
-0.07421875,26.9°C,72%,2024-04-03,17:42:21
-0.23046875,26.9°C,72%,2024-04-03,17:42:38
-0.08984375,26.9°C,72%,2024-04-03,17:42:54
0.064453125,26.9°C,72%,2024-04-03,17:43:10
-0.126953125,26.9°C,72%,2024-04-03,17:43:26
-0.24609375,26.9°C,72%,2024-04-03,17:43:43
-0.015625,26.9°C,72%,2024-04-03,17:43:59
0.052734375,26.9°C,72%,2024-04-03,17:44:15
-0.1796875,26.9°C,72%,2024-04-03,17:44:31
-0.244140625,26.9°C,72%,2024-04-03,17:44:48
0.02734375,26.9°C,72%,2024-04-03,17:45:04
0.06640625,26.9°C,72%,2024-04-03,17:45:20
-0.240234375,26.9°C,72%,2024-04-03,17:45:36
-0.234375,26.9°C,72%,2024-04-03,17:45:53
0.052734375,26.9°C,72%,2024-04-03,17:46:09
0.060546875,26.9°C,72%,2024-04-03,17:46:25
-0.23828125,26.9°C,72%,2024-04-03,17:46:41
-0.23046875,26.9°C,72%,2024-04-03,17:46:58
0.0703125,26.9°C,72%,2024-04-03,17:47:14
0.02734375,26.9°C,72%,2024-04-03,17:47:30
-0.232421875,26.9°C,72%,2024-04-03,17:47:46
-0.181640625,26.9°C,72%,2024-04-03,17:48:03
0.0625,26.9°C,72%,2024-04-03,17:48:19
-0.009765625,26.9°C,72%,2024-04-03,17:48:35
-0.24609375,26.9°C,72%,2024-04-03,17:48:52
-0.109375,26.9°C,72%,2024-04-03,17:49:08
0.064453125,26.9°C,72%,2024-04-03,17:49:24
-0.07421875,26.9°C,72%,2024-04-03,17:49:41
-0.23046875,26.9°C,72%,2024-04-03,17:49:57
-0.072265625,26.9°C,72%,2024-04-03,17:50:13
0.078125,26.9°C,72%,2024-04-03,17:50:29
-0.140625,26.9°C,72%,2024-04-03,17:50:46
-0.22265625,26.9°C,72%,2024-04-03,17:51:02
0.015625,26.9°C,72%,2024-04-03,17:51:18
0.072265625,26.9°C,72%,2024-04-03,17:51:35
-0.177734375,26.9°C,72%,2024-04-03,17:51:51
-0.251953125,26.9°C,72%,2024-04-03,17:52:07
0.052734375,26.9°C,72%,2024-04-03,17:52:23
0.0625,26.9°C,72%,2024-04-03,17:52:40
-0.236328125,26.9°C,72%,2024-04-03,17:52:56
-0.23046875,26.9°C,72%,2024-04-03,17:53:12
0.0546875,26.9°C,72%,2024-04-03,17:53:29
0.064453125,26.9°C,72%,2024-04-03,17:53:45
-0.251953125,26.9°C,72%,2024-04-03,17:54:01
-0.216796875,26.9°C,72%,2024-04-03,17:54:17
0.0625,26.9°C,72%,2024-04-03,17:54:34
0.01953125,26.9°C,72%,2024-04-03,17:54:50
-0.2265625,26.9°C,72%,2024-04-03,17:55:06
-0.16015625,26.9°C,72%,2024-04-03,17:55:23
0.072265625,26.9°C,72%,2024-04-03,17:55:39
-0.041015625,26.9°C,72%,2024-04-03,17:55:55
-0.240234375,26.9°C,72%,2024-04-03,17:56:12
-0.09375,26.9°C,72%,2024-04-03,17:56:28
0.056640625,26.9°C,72%,2024-04-03,17:56:44
-0.08203125,26.9°C,72%,2024-04-03,17:57:01
-0.2421875,26.9°C,72%,2024-04-03,17:57:17
-0.044921875,26.9°C,72%,2024-04-03,17:57:33
0.068359375,26.9°C,72%,2024-04-03,17:57:49
-0.15625,26.9°C,72%,2024-04-03,17:58:06
-0.2265625,26.9°C,72%,2024-04-03,17:58:22
0.0078125,26.9°C,72%,2024-04-03,17:58:38
0.0703125,26.9°C,72%,2024-04-03,17:58:55
-0.19921875,26.9°C,72%,2024-04-03,17:59:11
-0.2421875,26.9°C,72%,2024-04-03,17:59:27
0.0625,26.9°C,72%,2024-04-03,17:59:43
0.060546875,26.9°C,72%,2024-04-03,18:00:00
-0.2265625,26.9°C,72%,2024-04-03,18:00:16
-0.232421875,26.9°C,72%,2024-04-03,18:00:33
0.064453125,26.9°C,72%,2024-04-03,18:00:49
0.05859375,26.9°C,72%,2024-04-03,18:01:05
-0.244140625,26.9°C,72%,2024-04-03,18:01:22
-0.189453125,26.9°C,72%,2024-04-03,18:01:38
0.05859375,26.9°C,72%,2024-04-03,18:01:54
0.009765625,26.9°C,72%,2024-04-03,18:02:10
-0.236328125,26.9°C,72%,2024-04-03,18:02:27
-0.16015625,26.9°C,72%,2024-04-03,18:02:43
0.072265625,26.9°C,72%,2024-04-03,18:02:59
-0.0625,26.9°C,72%,2024-04-03,18:03:15
-0.22265625,26.9°C,72%,2024-04-03,18:03:32
-0.09375,26.9°C,72%,2024-04-03,18:03:48
0.0546875,26.9°C,72%,2024-04-03,18:04:04
-0.103515625,26.9°C,72%,2024-04-03,18:04:21
-0.25,26.9°C,72%,2024-04-03,18:04:37
-0.025390625,26.9°C,72%,2024-04-03,18:04:53
0.0546875,26.9°C,72%,2024-04-03,18:05:09
-0.177734375,26.9°C,72%,2024-04-03,18:05:26
-0.236328125,26.9°C,72%,2024-04-03,18:05:42
0.021484375,26.9°C,72%,2024-04-03,18:05:58
0.07421875,26.9°C,72%,2024-04-03,18:06:15
-0.234375,26.9°C,72%,2024-04-03,18:06:31
-0.240234375,26.9°C,72%,2024-04-03,18:06:47
0.060546875,26.9°C,72%,2024-04-03,18:07:04
0.060546875,26.9°C,72%,2024-04-03,18:07:20
-0.228515625,26.9°C,72%,2024-04-03,18:07:36
-0.234375,26.9°C,72%,2024-04-03,18:07:52
0.072265625,26.9°C,72%,2024-04-03,18:08:09
0.0390625,26.9°C,72%,2024-04-03,18:08:25
-0.23828125,26.9°C,72%,2024-04-03,18:08:41
-0.185546875,26.9°C,72%,2024-04-03,18:08:57
0.056640625,26.9°C,72%,2024-04-03,18:09:14
0.00390625,26.9°C,72%,2024-04-03,18:09:30
-0.24609375,26.9°C,72%,2024-04-03,18:09:46
-0.119140625,26.9°C,72%,2024-04-03,18:10:02
0.068359375,26.9°C,72%,2024-04-03,18:10:19
-0.064453125,26.9°C,72%,2024-04-03,18:10:35
-0.22265625,26.9°C,72%,2024-04-03,18:10:51
-0.076171875,26.9°C,72%,2024-04-03,18:11:07
0.07421875,26.9°C,72%,2024-04-03,18:11:24
-0.119140625,26.9°C,72%,2024-04-03,18:11:40
-0.240234375,26.9°C,72%,2024-04-03,18:11:56
0.005859375,26.9°C,72%,2024-04-03,18:12:12
0.068359375,26.9°C,72%,2024-04-03,18:12:29
-0.166015625,26.9°C,72%,2024-04-03,18:12:45
-0.236328125,26.9°C,72%,2024-04-03,18:13:01
0.046875,26.9°C,72%,2024-04-03,18:13:17
0.072265625,26.9°C,72%,2024-04-03,18:13:34
-0.232421875,26.9°C,72%,2024-04-03,18:13:50
-0.232421875,26.9°C,72%,2024-04-03,18:14:06
0.0546875,26.9°C,72%,2024-04-03,18:14:22
0.060546875,26.9°C,72%,2024-04-03,18:14:39
-0.24609375,26.9°C,72%,2024-04-03,18:14:55
-0.2265625,26.9°C,72%,2024-04-03,18:15:11
0.068359375,26.9°C,72%,2024-04-03,18:15:27
0.021484375,26.9°C,72%,2024-04-03,18:15:44
-0.232421875,26.9°C,72%,2024-04-03,18:16:00
-0.1875,26.9°C,72%,2024-04-03,18:16:16
0.05859375,26.9°C,72%,2024-04-03,18:16:32
-0.01953125,26.9°C,72%,2024-04-03,18:16:48
-0.251953125,26.9°C,72%,2024-04-03,18:17:05
-0.111328125,26.9°C,72%,2024-04-03,18:17:21
0.056640625,26.9°C,72%,2024-04-03,18:17:37
-0.080078125,26.9°C,72%,2024-04-03,18:17:53
-0.236328125,26.9°C,72%,2024-04-03,18:18:10
-0.060546875,26.9°C,72%,2024-04-03,18:18:26
0.07421875,26.9°C,72%,2024-04-03,18:18:42
-0.1484375,26.9°C,72%,2024-04-03,18:18:58
-0.22265625,26.9°C,72%,2024-04-03,18:19:15
0.08203125,26.9°C,72%,2024-04-03,18:19:31
-0.046875,26.9°C,72%,2024-04-03,18:19:47
-0.236328125,26.9°C,72%,2024-04-03,18:20:03
-0.087890625,26.9°C,72%,2024-04-03,18:20:19
0.05859375,26.9°C,72%,2024-04-03,18:20:35
-0.083984375,26.9°C,72%,2024-04-03,18:20:51
-0.24609375,26.9°C,72%,2024-04-03,18:21:08
-0.04296875,26.9°C,72%,2024-04-03,18:21:24
0.06640625,26.9°C,72%,2024-04-03,18:21:40
-0.162109375,26.9°C,72%,2024-04-03,18:21:56
-0.232421875,26.9°C,72%,2024-04-03,18:22:12
0.001953125,26.9°C,72%,2024-04-03,18:22:29
0.06640625,26.9°C,72%,2024-04-03,18:22:45
-0.212890625,26.9°C,72%,2024-04-03,18:23:01
-0.248046875,26.9°C,72%,2024-04-03,18:23:17
0.05859375,26.9°C,72%,2024-04-03,18:23:33
0.064453125,26.9°C,72%,2024-04-03,18:23:49
-0.22265625,26.9°C,72%,2024-04-03,18:24:06
-0.23046875,26.9°C,72%,2024-04-03,18:24:22
0.064453125,26.9°C,72%,2024-04-03,18:24:38
0.052734375,26.9°C,72%,2024-04-03,18:24:54
-0.244140625,27.0°C,72%,2024-04-03,18:25:11
-0.19140625,27.0°C,72%,2024-04-03,18:25:27
0.060546875,27.0°C,72%,2024-04-03,18:25:43
0.013671875,27.0°C,72%,2024-04-03,18:25:59
-0.23828125,27.0°C,72%,2024-04-03,18:26:15
-0.150390625,27.0°C,72%,2024-04-03,18:26:32
0.072265625,27.0°C,72%,2024-04-03,18:26:48
-0.05078125,27.0°C,72%,2024-04-03,18:27:04
-0.23046875,27.0°C,72%,2024-04-03,18:27:20
-0.080078125,27.0°C,72%,2024-04-03,18:27:36
0.0703125,27.0°C,72%,2024-04-03,18:27:53
-0.099609375,27.0°C,72%,2024-04-03,18:28:09
-0.24609375,27.0°C,72%,2024-04-03,18:28:25
0.0,27.0°C,72%,2024-04-03,18:28:42
0.07421875,27.0°C,72%,2024-04-03,18:28:58
-0.150390625,27.0°C,72%,2024-04-03,18:29:14
-0.21875,27.0°C,72%,2024-04-03,18:29:30
0.029296875,27.0°C,72%,2024-04-03,18:29:46
0.07421875,27.0°C,72%,2024-04-03,18:30:03
-0.228515625,27.0°C,72%,2024-04-03,18:30:19
-0.228515625,27.0°C,72%,2024-04-03,18:30:35
0.0625,27.0°C,72%,2024-04-03,18:30:51
0.05859375,27.0°C,72%,2024-04-03,18:31:07
-0.232421875,27.0°C,72%,2024-04-03,18:31:24
-0.240234375,27.0°C,72%,2024-04-03,18:31:40
0.072265625,27.0°C,72%,2024-04-03,18:31:56
0.03125,27.0°C,72%,2024-04-03,18:32:12
-0.240234375,27.0°C,72%,2024-04-03,18:32:28
0.037109375,27.0°C,72%,2024-04-03,18:32:45
0.068359375,27.0°C,72%,2024-04-03,18:33:01
-0.228515625,27.0°C,72%,2024-04-03,18:33:17
-0.2265625,27.0°C,72%,2024-04-03,18:33:33
0.05859375,27.0°C,72%,2024-04-03,18:33:49
0.06640625,27.0°C,72%,2024-04-03,18:34:05
-0.234375,27.0°C,72%,2024-04-03,18:34:21
-0.224609375,27.0°C,72%,2024-04-03,18:34:38
0.07421875,27.0°C,72%,2024-04-03,18:34:54
0.033203125,27.0°C,72%,2024-04-03,18:35:10
-0.224609375,27.0°C,72%,2024-04-03,18:35:26
-0.173828125,27.0°C,72%,2024-04-03,18:35:42
0.07421875,27.0°C,72%,2024-04-03,18:35:59
-0.0078125,27.0°C,72%,2024-04-03,18:36:15
-0.232421875,27.0°C,72%,2024-04-03,18:36:31
-0.08203125,27.0°C,72%,2024-04-03,18:36:48
0.0703125,27.0°C,72%,2024-04-03,18:37:04
-0.064453125,27.0°C,72%,2024-04-03,18:37:20
-0.234375,27.0°C,72%,2024-04-03,18:37:37
-0.06640625,27.0°C,72%,2024-04-03,18:37:53
0.07421875,27.0°C,72%,2024-04-03,18:38:09
-0.14453125,27.0°C,72%,2024-04-03,18:38:25
-0.228515625,27.0°C,72%,2024-04-03,18:38:41
0.0,27.0°C,72%,2024-04-03,18:38:57
0.05859375,27.0°C,72%,2024-04-03,18:39:16
-0.185546875,27.0°C,72%,2024-04-03,18:39:32
-0.251953125,27.0°C,72%,2024-04-03,18:39:48
0.0546875,27.0°C,72%,2024-04-03,18:40:05
0.0625,27.0°C,72%,2024-04-03,18:40:21
-0.236328125,27.0°C,72%,2024-04-03,18:40:37
-0.23046875,27.0°C,72%,2024-04-03,18:40:54
0.056640625,27.0°C,72%,2024-04-03,18:41:10
0.0625,27.0°C,72%,2024-04-03,18:41:26
-0.251953125,27.0°C,72%,2024-04-03,18:41:43
-0.212890625,27.0°C,72%,2024-04-03,18:41:59
0.0625,27.0°C,72%,2024-04-03,18:42:15
0.013671875,27.0°C,72%,2024-04-03,18:42:31
-0.23046875,27.0°C,72%,2024-04-03,18:42:48
-0.16796875,27.0°C,72%,2024-04-03,18:43:04
0.076171875,27.0°C,72%,2024-04-03,18:43:20
-0.041015625,27.0°C,72%,2024-04-03,18:43:37
-0.232421875,27.0°C,72%,2024-04-03,18:43:53
-0.0859375,27.0°C,72%,2024-04-03,18:44:09
0.06640625,27.0°C,72%,2024-04-03,18:44:25
-0.080078125,27.0°C,72%,2024-04-03,18:44:41
-0.23828125,27.0°C,72%,2024-04-03,18:44:58
-0.03125,27.0°C,72%,2024-04-03,18:45:14
0.0703125,27.0°C,72%,2024-04-03,18:45:30
-0.154296875,27.0°C,72%,2024-04-03,18:45:47
-0.220703125,27.0°C,72%,2024-04-03,18:46:03
0.015625,27.0°C,72%,2024-04-03,18:46:19
0.07421875,27.0°C,72%,2024-04-03,18:46:36
-0.203125,27.0°C,72%,2024-04-03,18:46:52
-0.240234375,27.0°C,72%,2024-04-03,18:47:08
0.064453125,27.0°C,72%,2024-04-03,18:47:24
0.056640625,27.0°C,72%,2024-04-03,18:47:41
-0.23046875,27.0°C,72%,2024-04-03,18:47:57
-0.23828125,27.0°C,72%,2024-04-03,18:48:13
0.068359375,27.0°C,72%,2024-04-03,18:48:30
0.05078125,27.0°C,72%,2024-04-03,18:48:46
-0.244140625,27.0°C,72%,2024-04-03,18:49:02
-0.193359375,27.0°C,72%,2024-04-03,18:49:19
0.05859375,27.0°C,72%,2024-04-03,18:49:35
0.0078125,27.0°C,72%,2024-04-03,18:49:51
-0.2421875,27.0°C,72%,2024-04-03,18:50:07
-0.140625,27.0°C,72%,2024-04-03,18:50:24
0.0703125,27.0°C,72%,2024-04-03,18:50:40
-0.064453125,27.0°C,72%,2024-04-03,18:50:56
-0.23046875,27.0°C,72%,2024-04-03,18:51:13
-0.08984375,27.0°C,72%,2024-04-03,18:51:29
0.064453125,27.0°C,72%,2024-04-03,18:51:45
-0.111328125,27.0°C,72%,2024-04-03,18:52:01
-0.25390625,27.0°C,72%,2024-04-03,18:52:18
-0.00390625,27.0°C,72%,2024-04-03,18:52:34
0.06640625,27.0°C,72%,2024-04-03,18:52:50
-0.166015625,27.0°C,72%,2024-04-03,18:53:07
-0.234375,27.0°C,72%,2024-04-03,18:53:23
0.041015625,27.0°C,72%,2024-04-03,18:53:39
0.076171875,27.0°C,72%,2024-04-03,18:53:55
-0.228515625,27.0°C,72%,2024-04-03,18:54:12
-0.072265625,27.0°C,72%,2024-04-03,18:54:28
0.078125,27.0°C,72%,2024-04-03,18:54:44
-0.1328125,27.0°C,72%,2024-04-03,18:55:00
-0.2265625,27.0°C,72%,2024-04-03,18:55:17
-0.009765625,27.0°C,72%,2024-04-03,18:55:33
0.0546875,27.0°C,72%,2024-04-03,18:55:49
-0.173828125,27.0°C,72%,2024-04-03,18:56:05
-0.24609375,27.0°C,72%,2024-04-03,18:56:21
0.0390625,27.0°C,72%,2024-04-03,18:56:37
0.064453125,27.0°C,72%,2024-04-03,18:56:54
-0.236328125,27.0°C,72%,2024-04-03,18:57:10
-0.228515625,27.0°C,72%,2024-04-03,18:57:26
0.05859375,27.0°C,72%,2024-04-03,18:57:42
0.068359375,27.0°C,72%,2024-04-03,18:57:59
-0.244140625,27.0°C,72%,2024-04-03,18:58:15
-0.208984375,27.0°C,72%,2024-04-03,18:58:31
0.06640625,27.0°C,72%,2024-04-03,18:58:47
0.021484375,27.0°C,72%,2024-04-03,18:59:03
-0.228515625,27.0°C,72%,2024-04-03,18:59:20
-0.169921875,27.0°C,72%,2024-04-03,18:59:36
0.07421875,27.0°C,72%,2024-04-03,18:59:52
-0.033203125,27.0°C,72%,2024-04-03,19:00:08
-0.236328125,27.0°C,72%,2024-04-03,19:00:25
-0.091796875,27.0°C,72%,2024-04-03,19:00:41
0.0625,27.0°C,72%,2024-04-03,19:00:57
-0.0859375,27.0°C,72%,2024-04-03,19:01:13
-0.236328125,27.0°C,72%,2024-04-03,19:01:29
-0.0625,27.0°C,72%,2024-04-03,19:01:45
0.0703125,27.0°C,72%,2024-04-03,19:02:02
-0.15625,27.0°C,72%,2024-04-03,19:02:18
-0.232421875,27.0°C,72%,2024-04-03,19:02:34
-0.00390625,27.0°C,72%,2024-04-03,19:02:50
0.056640625,27.0°C,72%,2024-04-03,19:03:07
-0.1953125,27.0°C,72%,2024-04-03,19:03:23
-0.248046875,27.0°C,72%,2024-04-03,19:03:39
0.05859375,27.0°C,72%,2024-04-03,19:03:55
0.0703125,27.0°C,72%,2024-04-03,19:04:11
-0.216796875,27.0°C,72%,2024-04-03,19:04:27
-0.224609375,27.0°C,72%,2024-04-03,19:04:43
0.07421875,27.0°C,72%,2024-04-03,19:04:59
0.064453125,27.0°C,72%,2024-04-03,19:05:16
